Date,PX_LAST
2021-06-30,1227.39051
2021-07-30,1246.65484
2021-08-31,1263.52965
2021-09-30,1204.02966
2021-10-29,1258.27949
2021-11-30,1199.59602
2021-12-31,1276.54822
2022-01-31,1227.41806
2022-02-28,1187.94065
2022-03-31,1181.24035
2022-04-29,1114.60207
2022-05-31,1120.80179
2022-06-30,1013.89458
2022-07-29,1058.09578
2022-08-31,993.06545
2022-09-30,910.27821
2022-10-31,974.33439
2022-11-30,1085.67747
2022-12-30,1085.25352
2023-01-31,1170.83739
2023-02-28,1161.37291
2023-03-31,1189.34793
2023-04-28,1231.99723
2023-05-31,1152.11348
2023-06-30,1212.84568
2023-07-31,1240.69143
2023-08-31,1189.17921
2023-09-29,1144.67394
