DATE,T1YFF
2018-11-15,0.5
2018-11-16,0.48
2018-11-19,0.46
2018-11-20,0.47
2018-11-21,0.47
2018-11-22,.
2018-11-23,0.47
2018-11-26,0.5
2018-11-27,0.5
2018-11-28,0.49
2018-11-29,0.49
2018-11-30,0.5
2018-12-03,0.53
2018-12-04,0.51
2018-12-05,.
2018-12-06,0.5
2018-12-07,0.49
2018-12-10,0.49
2018-12-11,0.51
2018-12-12,0.51
2018-12-13,0.5
2018-12-14,0.49
2018-12-17,0.46
2018-12-18,0.44
2018-12-19,0.42
2018-12-20,0.24
2018-12-21,0.22
2018-12-24,0.21
2018-12-25,.
2018-12-26,0.21
2018-12-27,0.18
2018-12-28,0.17
2018-12-31,0.23
2019-01-01,.
2019-01-02,0.2
2019-01-03,0.1
2019-01-04,0.17
2019-01-07,0.18
2019-01-08,0.2
2019-01-09,0.19
2019-01-10,0.19
2019-01-11,0.18
2019-01-14,0.17
2019-01-15,0.17
2019-01-16,0.17
2019-01-17,0.17
2019-01-18,0.2
2019-01-21,.
2019-01-22,0.19
2019-01-23,0.19
2019-01-24,0.18
2019-01-25,0.2
2019-01-28,0.2
2019-01-29,0.2
2019-01-30,0.17
2019-01-31,0.15
2019-02-01,0.16
2019-02-04,0.17
2019-02-05,0.16
2019-02-06,0.16
2019-02-07,0.15
2019-02-08,0.14
2019-02-11,0.15
2019-02-12,0.15
2019-02-13,0.15
2019-02-14,0.13
2019-02-15,0.15
2019-02-18,.
2019-02-19,0.14
2019-02-20,0.14
2019-02-21,0.15
2019-02-22,0.15
2019-02-25,0.16
2019-02-26,0.15
2019-02-27,0.14
2019-02-28,0.14
2019-03-01,0.15
2019-03-04,0.14
2019-03-05,0.14
2019-03-06,0.14
2019-03-07,0.12
2019-03-08,0.13
2019-03-11,0.13
2019-03-12,0.12
2019-03-13,0.13
2019-03-14,0.12
2019-03-15,0.12
2019-03-18,0.12
2019-03-19,0.1
2019-03-20,0.06
2019-03-21,0.07
2019-03-22,0.04
2019-03-25,0.01
2019-03-26,0.04
2019-03-27,-0.01
2019-03-28,-0.01
2019-03-29,-0.03
2019-04-01,0.0
2019-04-02,0.0
2019-04-03,0.0
2019-04-04,0.0
2019-04-05,0.02
2019-04-08,0.02
2019-04-09,0.01
2019-04-10,0.0
2019-04-11,0.03
2019-04-12,0.03
2019-04-15,0.02
2019-04-16,0.04
2019-04-17,0.02
2019-04-18,0.01
2019-04-19,.
2019-04-22,0.02
2019-04-23,-0.01
2019-04-24,-0.02
2019-04-25,-0.02
2019-04-26,-0.03
