DATE,CCSA
2004-11-06,2765000
2004-11-13,2707000
2004-11-20,2705000
2004-11-27,2761000
2004-12-04,2725000
2004-12-11,2692000
2004-12-18,2688000
2004-12-25,2771000
2005-01-01,2672000
2005-01-08,2720000
2005-01-15,2790000
2005-01-22,2706000
2005-01-29,2731000
2005-02-05,2710000
2005-02-12,2666000
2005-02-19,2667000
2005-02-26,2703000
2005-03-05,2658000
2005-03-12,2681000
2005-03-19,2616000
2005-03-26,2683000
2005-04-02,2653000
2005-04-09,2626000
2005-04-16,2559000
2005-04-23,2588000
2005-04-30,2596000
2005-05-07,2605000
2005-05-14,2568000
2005-05-21,2595000
2005-05-28,2577000
2005-06-04,2630000
2005-06-11,2599000
2005-06-18,2602000
2005-06-25,2569000
2005-07-02,2612000
2005-07-09,2583000
2005-07-16,2619000
2005-07-23,2592000
2005-07-30,2570000
2005-08-06,2584000
2005-08-13,2573000
2005-08-20,2598000
2005-08-27,2568000
2005-09-03,2575000
2005-09-10,2651000
2005-09-17,2787000
2005-09-24,2853000
2005-10-01,2841000
2005-10-08,2831000
2005-10-15,2821000
2005-10-22,2772000
2005-10-29,2752000
2005-11-05,2746000
2005-11-12,2760000
2005-11-19,2712000
2005-11-26,2587000
2005-12-03,2589000
2005-12-10,2620000
2005-12-17,2660000
2005-12-24,2668000
2005-12-31,2660000
2006-01-07,2561000
2006-01-14,2586000
2006-01-21,2516000
2006-01-28,2565000
2006-02-04,2520000
2006-02-11,2517000
2006-02-18,2488000
2006-02-25,2504000
2006-03-04,2453000
2006-03-11,2474000
2006-03-18,2456000
2006-03-25,2439000
2006-04-01,2405000
2006-04-08,2411000
2006-04-15,2408000
2006-04-22,2424000
2006-04-29,2357000
2006-05-06,2372000
2006-05-13,2383000
2006-05-20,2399000
2006-05-27,2381000
2006-06-03,2408000
2006-06-10,2412000
2006-06-17,2395000
2006-06-24,2419000
2006-07-01,2399000
2006-07-08,2491000
2006-07-15,2475000
2006-07-22,2422000
2006-07-29,2460000
2006-08-05,2477000
2006-08-12,2467000
2006-08-19,2464000
2006-08-26,2457000
2006-09-02,2467000
2006-09-09,2449000
2006-09-16,2438000
2006-09-23,2440000
2006-09-30,2437000
2006-10-07,2449000
2006-10-14,2459000
2006-10-21,2428000
2006-10-28,2449000
2006-11-04,2414000
2006-11-11,2467000
2006-11-18,2506000
2006-11-25,2517000
2006-12-02,2472000
2006-12-09,2517000
2006-12-16,2513000
2006-12-23,2449000
2006-12-30,2455000
2007-01-06,2518000
2007-01-13,2507000
2007-01-20,2552000
2007-01-27,2520000
2007-02-03,2575000
2007-02-10,2527000
2007-02-17,2626000
2007-02-24,2549000
2007-03-03,2581000
2007-03-10,2511000
2007-03-17,2515000
2007-03-24,2489000
2007-03-31,2499000
2007-04-07,2497000
2007-04-14,2538000
2007-04-21,2463000
2007-04-28,2486000
2007-05-05,2429000
2007-05-12,2465000
2007-05-19,2417000
2007-05-26,2480000
2007-06-02,2452000
2007-06-09,2484000
2007-06-16,2453000
2007-06-23,2520000
2007-06-30,2501000
2007-07-07,2563000
2007-07-14,2555000
2007-07-21,2514000
2007-07-28,2537000
2007-08-04,2531000
2007-08-11,2556000
2007-08-18,2556000
2007-08-25,2569000
2007-09-01,2565000
2007-09-08,2537000
2007-09-15,2536000
2007-09-22,2530000
2007-09-29,2518000
2007-10-06,2521000
2007-10-13,2541000
2007-10-20,2598000
2007-10-27,2587000
2007-11-03,2617000
2007-11-10,2607000
2007-11-17,2609000
2007-11-24,2634000
2007-12-01,2639000
2007-12-08,2672000
2007-12-15,2737000
2007-12-22,2752000
2007-12-29,2760000
2008-01-05,2828000
2008-01-12,2752000
2008-01-19,2770000
2008-01-26,2845000
2008-02-02,2810000
2008-02-09,2846000
2008-02-16,2837000
2008-02-23,2884000
2008-03-01,2867000
2008-03-08,2895000
2008-03-15,2897000
2008-03-22,2938000
2008-03-29,2967000
2008-04-05,2969000
2008-04-12,2937000
2008-04-19,2964000
2008-04-26,2986000
2008-05-03,2993000
2008-05-10,2997000
2008-05-17,3016000
2008-05-24,3007000
2008-05-31,3055000
2008-06-07,3010000
2008-06-14,3057000
2008-06-21,3054000
2008-06-28,3110000
2008-07-05,3113000
2008-07-12,3104000
2008-07-19,3227000
2008-07-26,3261000
2008-08-02,3330000
2008-08-09,3327000
2008-08-16,3385000
2008-08-23,3384000
2008-08-30,3464000
2008-09-06,3420000
2008-09-13,3493000
2008-09-20,3551000
2008-09-27,3623000
2008-10-04,3676000
2008-10-11,3696000
2008-10-18,3729000
2008-10-25,3823000
2008-11-01,3928000
2008-11-08,4011000
2008-11-15,4002000
2008-11-22,4095000
2008-11-29,4447000
2008-12-06,4417000
2008-12-13,4445000
2008-12-20,4548000
2008-12-27,4679000
2009-01-03,4692000
2009-01-10,4760000
2009-01-17,4864000
2009-01-24,4980000
2009-01-31,5010000
2009-02-07,5157000
2009-02-14,5279000
2009-02-21,5307000
2009-02-28,5445000
2009-03-07,5600000
2009-03-14,5699000
2009-03-21,5829000
2009-03-28,5935000
2009-04-04,6044000
2009-04-11,6130000
2009-04-18,6264000
2009-04-25,6300000
2009-05-02,6416000
2009-05-09,6516000
2009-05-16,6539000
2009-05-23,6522000
2009-05-30,6635000
2009-06-06,6506000
2009-06-13,6525000
2009-06-20,6488000
2009-06-27,6618000
2009-07-04,6145000
2009-07-11,6136000
2009-07-18,6118000
2009-07-25,6157000
2009-08-01,6111000
2009-08-08,6090000
2009-08-15,6008000
2009-08-22,6060000
2009-08-29,5970000
2009-09-05,6079000
2009-09-12,6006000
2009-09-19,5942000
2009-09-26,5912000
2009-10-03,5900000
2009-10-10,5828000
2009-10-17,5746000
2009-10-24,5705000
2009-10-31,5649000
2009-11-07,5568000
2009-11-14,5462000
2009-11-21,5489000
2009-11-28,5323000
2009-12-05,5289000
2009-12-12,5191000
2009-12-19,5100000
2009-12-26,4987000
2010-01-02,4870000
2010-01-09,4879000
2010-01-16,4809000
2010-01-23,4841000
2010-01-30,4796000
2010-02-06,4838000
2010-02-13,4815000
2010-02-20,4767000
