DATE,WILLLRGCAPVAL
2000-11-23,.
2000-11-24,24116.47
2000-11-27,24281.06
2000-11-28,24222.00
2000-11-29,24419.57
2000-11-30,24199.76
2000-12-01,24115.28
2000-12-04,24396.70
2000-12-05,24759.50
2000-12-06,24473.06
2000-12-07,24507.12
2000-12-08,24779.15
2000-12-11,24762.43
2000-12-12,24841.73
2000-12-13,24849.87
2000-12-14,24641.69
2000-12-15,24331.61
2000-12-18,24686.56
2000-12-19,24535.47
2000-12-20,24147.94
2000-12-21,24310.84
2000-12-22,24586.23
2000-12-25,.
2000-12-26,24902.92
2000-12-27,25235.23
2000-12-28,25427.77
2000-12-29,25284.74
2001-01-01,.
2001-01-02,24988.86
2001-01-03,25256.28
2001-01-04,24914.88
2001-01-05,24551.88
2001-01-08,24595.84
2001-01-09,24625.03
2001-01-10,24756.78
2001-01-11,24703.71
2001-01-12,24667.95
2001-01-15,.
2001-01-16,24918.79
2001-01-17,24844.29
2001-01-18,24845.77
2001-01-19,24548.10
2001-01-22,24692.71
2001-01-23,24845.40
2001-01-24,24862.45
2001-01-25,25008.06
2001-01-26,24907.89
2001-01-29,25008.61
2001-01-30,25249.13
2001-01-31,25291.68
2001-02-01,25397.47
2001-02-02,25221.89
2001-02-05,25318.83
2001-02-06,25267.58
2001-02-07,25265.99
2001-02-08,25263.28
2001-02-09,25147.80
2001-02-12,25361.37
2001-02-13,25269.59
2001-02-14,25058.48
2001-02-15,25069.57
2001-02-16,25018.66
2001-02-19,.
2001-02-20,24888.97
2001-02-21,24544.41
2001-02-22,24468.99
2001-02-23,24336.28
2001-02-26,24698.99
2001-02-27,24726.91
2001-02-28,24531.69
2001-03-01,24429.50
2001-03-02,24635.89
2001-03-05,24659.11
2001-03-06,24718.94
2001-03-07,24852.05
2001-03-08,25112.54
2001-03-09,24830.71
2001-03-12,24078.52
2001-03-13,24128.66
2001-03-14,23505.54
2001-03-15,23692.35
2001-03-16,23289.63
2001-03-19,23597.65
2001-03-20,23221.54
2001-03-21,22786.83
2001-03-22,22473.60
2001-03-23,22865.12
2001-03-26,23236.75
2001-03-27,23702.91
2001-03-28,23374.27
2001-03-29,23380.42
2001-03-30,23675.56
2001-04-02,23454.44
2001-04-03,22852.52
2001-04-04,22934.61
2001-04-05,23563.69
2001-04-06,23187.97
2001-04-09,23354.66
2001-04-10,23785.25
2001-04-11,23568.56
2001-04-12,23762.29
2001-04-13,.
2001-04-16,23840.10
2001-04-17,24002.31
